Var1,Var2,Var3,Var4,Var5,Var6,Var7
-0.6845,-0.767,-0.7959,-0.8177,-0.8436,-0.8815,-0.9678
-0.6948,-0.7695,-0.7978,-0.8195,-0.8457,-0.8799,-0.9603
-0.6862,-0.7681,-0.7945,-0.816,-0.8381,-0.8674,-0.9397
-0.5605,-0.6384,-0.6593,-0.6954,-0.7311,-0.7601,-0.8225
-0.7321,-0.7976,-0.7965,-0.8283,-0.8653,-0.9216,-1.0027
-0.168,-0.2274,-0.315,-0.367,-0.417,-0.4837,-0.568
-0.9456,-0.1968,-0.0931,-0.0529,-0.2294,-0.4464,-0.4744
0.4884,0.4832,0.4839,0.4821,0.481,0.4772,0.4675
1.1769,0.5973,0.4628,0.3681,0.3952,0.3857,0.7725
0.7697,0.7761,0.775,0.7756,0.7757,0.7763,0.775
0.0224,-0.0097,-0.0362,-0.0528,-0.0665,-0.0791,-0.099
-0.7503,-0.8081,-0.8312,-0.8495,-0.8668,-0.8888,-0.9321
-0.8375,-0.8242,-0.8229,-0.8333,-0.8515,-0.8798,-0.9491
-0.691,-0.7591,-0.7866,-0.8081,-0.8327,-0.865,-0.9353
-0.6964,-0.7626,-0.792,-0.8132,-0.837,-0.8688,-0.9342
-0.6889,-0.7646,-0.7965,-0.8174,-0.842,-0.8743,-0.947
-0.6982,-0.7697,-0.7985,-0.8196,-0.8465,-0.8817,-0.9627
-0.7017,-0.7692,-0.7967,-0.8168,-0.8438,-0.8805,-0.9702
