Var1,Var2,Var3,Var4,Var5,Var6,Var7
-16.1288,-94.4308,-242.8272,-460.0694,-749.1058,-1131.1266,-1689.9995
-16.2805,-94.6404,-243.2214,-460.7548,-750.4369,-1129.5864,-1680.6275
-16.1533,-94.5252,-242.527,-459.3971,-745.6296,-1118.2589,-1654.9501
-14.2968,-83.619,-213.9802,-412.0544,-678.6533,-1020.3195,-1508.4343
-16.8309,-97.01,-242.9542,-464.2359,-762.7069,-1167.714,-1733.6702
-8.5018,-49.0662,-141.2439,-283.1115,-481.9464,-768.046,-1190.4013
-19.9826,-46.4923,-94.3892,-159.8426,-364.4191,-733.993,-1073.5061
1.1891,10.675,27.4863,50.2167,80.4832,109.0398,103.4802
11.3547,20.2684,23.046,5.4331,26.7096,25.5273,484.6017
5.3422,35.2994,88.9843,165.4329,265.0049,381.982,487.7268
-5.692,-30.7635,-82.3551,-159.7796,-262.4211,-398.7218,-604.3116
-17.0991,-97.8918,-250.2827,-472.5517,-763.6336,-1137.7692,-1645.4454
-18.3878,-99.2394,-248.5255,-466.2,-754.0145,-1129.4953,-1666.6276
-16.2237,-93.7665,-240.8558,-456.2837,-742.2491,-1116.0369,-1649.3751
-16.3038,-94.0631,-242.0114,-458.2784,-744.9357,-1119.4788,-1648.0579
-16.1932,-94.2361,-242.9508,-459.9399,-748.0855,-1124.5468,-1663.9722
-16.3304,-94.6647,-243.3668,-460.8087,-750.9161,-1131.2963,-1683.636
-16.3828,-94.6162,-242.996,-459.6943,-749.2295,-1130.1926,-1692.9779
