Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
0.4769,0.454,-0.1962,-1.2171,-1.7593,-2.4119,-2.8172,-0.7429
-0.4614,0.1736,0.3273,0.1388,-0.038,-0.2971,-0.4724,0.2356
-1.2001,-0.4645,0.1119,0.3841,0.4643,0.4899,0.4956,0.4588
-1.0808,-0.4987,-0.0149,0.2594,0.3625,0.4248,0.4578,0.3463
-1.0027,-0.5289,-0.1169,0.1399,0.2475,0.3214,0.3661,0.2326
-0.9033,-0.6258,-0.3634,-0.177,-0.0843,-0.0165,0.0294,-0.1036
-0.952,-0.5833,-0.2458,-0.0184,0.0857,0.1619,0.2112,0.0729
-0.934,-0.6028,-0.2954,-0.0832,0.0171,0.091,0.1401,0.0035
-0.9789,-0.569,-0.1979,0.0464,0.1545,0.2322,0.2814,0.1402
-0.8428,-0.6348,-0.4393,-0.2986,-0.2226,-0.1698,-0.1338,-0.2616
-0.7966,-0.6253,-0.4712,-0.3619,-0.2984,-0.2577,-0.2303,-0.3593
-0.7645,-0.6146,-0.4897,-0.4033,-0.3491,-0.3174,-0.2969,-0.4307
-0.725,-0.5895,-0.4986,-0.4399,-0.3971,-0.3758,-0.3632,-0.5041
-0.6732,-0.5268,-0.4344,-0.417,-0.3995,-0.4006,-0.4029,-0.548
-0.6738,-0.5226,-0.4183,-0.3817,-0.3664,-0.3744,-0.3813,-0.5219
-0.4472,-0.5218,-0.4119,-0.3575,-0.3309,-0.3399,-0.35,-0.4852
-0.2612,-0.4978,-0.4125,-0.3442,-0.3004,-0.2952,-0.3048,-0.4323
-0.196,-0.2135,-0.2389,-0.3437,-0.2856,-0.2703,-0.2802,-0.405
-0.2269,-0.3517,-0.4039,-0.3381,-0.2904,-0.2799,-0.2885,-0.4127
-0.182,-0.1593,-0.1314,-0.3015,-0.266,-0.2735,-0.2989,-0.4372
-0.2964,-0.2998,-0.3632,-0.5144,-0.5969,-0.6993,-0.7901,-1.0694
-0.415,-0.3629,-0.4135,-0.5348,-0.6354,-0.7268,-0.8138,-1.0531
-0.6972,-0.5333,-0.5506,-0.5614,-0.6324,-0.7083,-0.796,-1.072
-0.7821,-0.7549,-0.6673,-0.6114,-0.6529,-0.7271,-0.8173,-1.1154
-0.7752,-0.9409,-0.7879,-0.6857,-0.6544,-0.7284,-0.8169,-1.1227
-0.7801,-0.9298,-0.9123,-0.7966,-0.6695,-0.7269,-0.8132,-1.1213
-0.7904,-0.9365,-1.0381,-0.9274,-0.7279,-0.731,-0.8108,-1.1216
-0.8288,-0.9479,-1.1525,-1.0733,-0.8648,-0.7495,-0.8095,-1.1145
-0.8745,-0.9822,-1.2105,-1.1809,-1.0164,-0.8012,-0.8174,-1.1062
-0.8944,-1.0222,-1.2552,-1.2632,-1.1437,-0.9093,-0.8391,-1.0984
-0.8972,-1.0506,-1.3106,-1.3415,-1.2599,-1.0667,-0.8782,-1.0904
-0.8846,-1.0639,-1.355,-1.407,-1.3575,-1.221,-0.9426,-1.0743
-0.8725,-1.0778,-1.3874,-1.4779,-1.4554,-1.3669,-1.0661,-1.0762
-0.8537,-1.089,-1.426,-1.5588,-1.5634,-1.5194,-1.2516,-1.0702
-0.831,-1.1005,-1.4771,-1.6474,-1.6821,-1.6797,-1.4654,-1.0681
-0.7783,-1.079,-1.4973,-1.6625,-1.7448,-1.7871,-1.6282,-1.0403
-0.7504,-1.1236,-1.6409,-2.2051,-1.9058,-2.0441,-1.9585,-1.0776
-0.7554,-1.1651,-1.7214,-2.3696,-2.3077,-2.1526,-2.1519,-1.0916
-0.7234,-1.1911,-1.825,-2.4278,-2.8611,-3.1942,-2.8896,-1.0954
-0.6359,-1.1735,-1.9209,-2.5136,-2.8606,-3.3437,-3.5704,-1.1151
-0.4186,-1.1045,-2.108,-2.8899,-3.1613,-3.4865,-3.5835,-1.1166
-0.1051,-0.8479,-2.0428,-3.1214,-3.5465,-3.9454,-3.891,-1.1415
0.3596,-0.2617,-1.5565,-2.9347,-3.561,-4.2276,-4.456,-1.4574
