Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
189.5872,182.3365,-79.5221,-491.7618,-692.3713,-956.6081,-1112.2924,-286.7472
-183.4497,69.7177,132.6113,56.0851,-14.9464,-117.8383,-186.497,90.938
-477.0979,-186.5386,45.3536,155.2109,182.73,194.3218,195.6572,177.0887
-429.6922,-200.283,-6.0188,104.7947,142.6592,168.4984,180.7507,133.6916
-398.6092,-212.4008,-47.3872,56.5409,97.3826,127.4886,144.5283,89.7928
-359.1133,-251.3191,-147.2737,-71.5027,-33.183,-6.5298,11.6201,-39.975
-378.4893,-234.244,-99.6179,-7.434,33.7336,64.22,83.4021,28.1444
-371.3193,-242.0965,-119.6915,-33.6123,6.7448,36.11,55.3029,1.3676
-389.1534,-228.4928,-80.1844,18.7537,60.7843,92.1164,111.1221,54.1329
-335.0549,-254.9232,-178.0029,-120.6431,-87.5935,-67.3446,-52.846,-100.9836
-316.7096,-251.106,-190.9553,-146.232,-117.4323,-102.2089,-90.9236,-138.699
-303.946,-246.8175,-198.4332,-162.9682,-137.4025,-125.9035,-117.2108,-166.2445
-288.2114,-236.7269,-202.0562,-177.7355,-156.2642,-149.0724,-143.3891,-194.5699
-267.6313,-211.5547,-176.0404,-168.4938,-157.209,-158.8901,-159.0929,-211.5381
-267.8783,-209.8645,-169.5051,-154.2176,-144.1769,-148.4849,-150.5632,-201.4535
-177.8,-209.5548,-166.9153,-144.4445,-130.2298,-134.8214,-138.2009,-187.2797
-103.8366,-199.9302,-167.1698,-139.0636,-118.2266,-117.0774,-120.3551,-166.8725
-77.9171,-85.7243,-96.8016,-138.8688,-112.389,-107.1886,-110.6448,-156.3188
-90.2026,-141.2426,-163.6623,-136.6218,-114.2713,-111.0042,-113.8994,-159.3225
-72.3671,-63.9909,-53.2408,-121.8252,-104.671,-108.4729,-118.0131,-168.7689
-117.8515,-120.3821,-147.1584,-207.8276,-234.8954,-277.3493,-311.9537,-412.7786
-164.9913,-145.7322,-167.5699,-216.0851,-250.0674,-288.2709,-321.3159,-406.504
-277.1663,-214.1695,-223.1043,-226.8225,-248.8912,-280.9123,-314.2737,-413.8109
-310.9148,-303.164,-270.3998,-247.0362,-256.9527,-288.3881,-322.6707,-430.5592
-308.1824,-377.879,-319.2847,-277.0618,-257.516,-288.9105,-322.516,-433.3538
-310.1437,-373.4085,-369.6774,-321.8549,-263.4718,-288.3109,-321.0883,-432.8234
-314.2257,-376.1028,-420.6476,-374.718,-286.4541,-289.9171,-320.1239,-432.9525
-329.5065,-380.6814,-467.0385,-433.6632,-340.3407,-297.2919,-319.6167,-430.2186
-347.653,-394.4355,-490.5118,-477.1224,-399.9833,-317.791,-322.7349,-427.0052
-355.5563,-410.5024,-508.6408,-510.4013,-450.0897,-360.6535,-331.291,-423.9962
-356.6818,-421.9312,-531.0887,-542.0401,-495.8112,-423.084,-346.7314,-420.9067
-351.6837,-427.2618,-549.088,-568.4921,-534.2362,-484.2939,-372.1734,-414.681
-346.8686,-432.8557,-562.2199,-597.1452,-572.7729,-542.1596,-420.9375,-415.4229
-339.4017,-437.3549,-577.8528,-629.824,-615.2563,-602.6515,-494.1424,-413.1144
-330.3848,-441.9492,-598.554,-665.6345,-661.9605,-666.2286,-578.5941,-412.3006
-309.397,-433.3044,-606.756,-671.7273,-686.6652,-708.8189,-642.8584,-401.5717
-298.3431,-451.2307,-664.935,-890.9789,-750.0287,-810.7611,-773.2724,-415.9449
-300.3224,-467.8819,-697.5663,-957.4096,-908.1766,-853.7917,-849.621,-421.3797
-287.5768,-478.3314,-739.5243,-980.9589,-1125.9787,-1266.9039,-1140.8636,-422.8373
-252.8013,-471.2509,-778.3838,-1015.6235,-1125.7626,-1326.1959,-1409.6776,-430.4449
-166.4199,-443.5427,-854.195,-1167.6487,-1244.0923,-1382.8403,-1414.8671,-431.0251
-41.7892,-340.4967,-827.8071,-1261.1985,-1395.6892,-1564.8423,-1536.2778,-440.634
142.9654,-105.0851,-630.734,-1185.7654,-1401.4226,-1676.7771,-1759.3363,-562.5523
