waveform	[0]
t0	12/31/1903  18:00:00.000000
delta t	1.000000

time	Y[0]
12/31/1903  18:00:00.000000	2.626770E+0
12/31/1903  18:00:01.000000	2.669584E+0
12/31/1903  18:00:02.000000	2.629040E+0
12/31/1903  18:00:03.000000	2.582334E+0
12/31/1903  18:00:04.000000	2.610552E+0
12/31/1903  18:00:05.000000	2.660502E+0
12/31/1903  18:00:06.000000	2.654015E+0
12/31/1903  18:00:07.000000	2.591416E+0
12/31/1903  18:00:08.000000	2.550548E+0
12/31/1903  18:00:09.000000	2.580064E+0
12/31/1903  18:00:10.000000	2.584929E+0
12/31/1903  18:00:11.000000	2.560603E+0
12/31/1903  18:00:12.000000	2.494112E+0
12/31/1903  18:00:13.000000	2.514546E+0
12/31/1903  18:00:14.000000	2.483733E+0
12/31/1903  18:00:15.000000	2.576496E+0
12/31/1903  18:00:16.000000	2.571306E+0
12/31/1903  18:00:17.000000	2.512924E+0
12/31/1903  18:00:18.000000	2.483084E+0
12/31/1903  18:00:19.000000	2.531087E+0
12/31/1903  18:00:20.000000	2.556062E+0
12/31/1903  18:00:21.000000	2.561252E+0
12/31/1903  18:00:22.000000	2.573252E+0
12/31/1903  18:00:23.000000	2.578118E+0
12/31/1903  18:00:24.000000	2.552819E+0
12/31/1903  18:00:25.000000	2.517789E+0
12/31/1903  18:00:26.000000	2.490220E+0
12/31/1903  18:00:27.000000	2.447730E+0
12/31/1903  18:00:28.000000	2.450325E+0
12/31/1903  18:00:29.000000	2.450001E+0
12/31/1903  18:00:30.000000	2.535953E+0
12/31/1903  18:00:31.000000	2.539196E+0
12/31/1903  18:00:32.000000	2.499950E+0
12/31/1903  18:00:33.000000	2.544386E+0
12/31/1903  18:00:34.000000	2.486976E+0
12/31/1903  18:00:35.000000	2.385456E+0
12/31/1903  18:00:36.000000	2.325776E+0
12/31/1903  18:00:37.000000	2.385780E+0
12/31/1903  18:00:38.000000	2.408160E+0
12/31/1903  18:00:39.000000	2.476273E+0
12/31/1903  18:00:40.000000	2.512275E+0
12/31/1903  18:00:41.000000	2.600822E+0
12/31/1903  18:00:42.000000	2.591740E+0
12/31/1903  18:00:43.000000	2.656610E+0
12/31/1903  18:00:44.000000	2.613796E+0
12/31/1903  18:00:45.000000	2.613796E+0
12/31/1903  18:00:46.000000	2.587848E+0
12/31/1903  18:00:47.000000	2.594011E+0
12/31/1903  18:00:48.000000	2.581361E+0
12/31/1903  18:00:49.000000	2.558333E+0
12/31/1903  18:00:50.000000	2.599849E+0
12/31/1903  18:00:51.000000	2.548278E+0
12/31/1903  18:00:52.000000	2.531412E+0
12/31/1903  18:00:53.000000	2.585253E+0
12/31/1903  18:00:54.000000	2.582334E+0
12/31/1903  18:00:55.000000	2.597254E+0
12/31/1903  18:00:56.000000	2.608606E+0
12/31/1903  18:00:57.000000	2.584929E+0
12/31/1903  18:00:58.000000	2.532060E+0
12/31/1903  18:00:59.000000	2.608931E+0
12/31/1903  18:01:00.000000	2.606012E+0
12/31/1903  18:01:01.000000	2.489571E+0
12/31/1903  18:01:02.000000	2.555089E+0
12/31/1903  18:01:03.000000	2.489247E+0
12/31/1903  18:01:04.000000	2.566766E+0
12/31/1903  18:01:05.000000	2.524276E+0
12/31/1903  18:01:06.000000	2.453569E+0
12/31/1903  18:01:07.000000	2.402970E+0
12/31/1903  18:01:08.000000	2.363400E+0
12/31/1903  18:01:09.000000	2.407836E+0
12/31/1903  18:01:10.000000	2.385131E+0
