waveform	[0]
t0	12/31/1903  18:00:00.000000
delta t	1.000000

time	Y[0]
12/31/1903  18:00:00.000000	2.788294E+0
12/31/1903  18:00:01.000000	2.788619E+0
12/31/1903  18:00:02.000000	2.793160E+0
12/31/1903  18:00:03.000000	2.796079E+0
12/31/1903  18:00:04.000000	2.806782E+0
12/31/1903  18:00:05.000000	2.818459E+0
12/31/1903  18:00:06.000000	2.823000E+0
12/31/1903  18:00:07.000000	2.827865E+0
12/31/1903  18:00:08.000000	2.818459E+0
12/31/1903  18:00:09.000000	2.815864E+0
12/31/1903  18:00:10.000000	2.820729E+0
12/31/1903  18:00:11.000000	2.826892E+0
12/31/1903  18:00:12.000000	2.846353E+0
12/31/1903  18:00:13.000000	2.856083E+0
12/31/1903  18:00:14.000000	2.857380E+0
12/31/1903  18:00:15.000000	2.819756E+0
12/31/1903  18:00:16.000000	2.836622E+0
12/31/1903  18:00:17.000000	2.819432E+0
12/31/1903  18:00:18.000000	2.821378E+0
12/31/1903  18:00:19.000000	2.761374E+0
12/31/1903  18:00:20.000000	2.716289E+0
12/31/1903  18:00:21.000000	2.756508E+0
12/31/1903  18:00:22.000000	2.756508E+0
12/31/1903  18:00:23.000000	2.747751E+0
12/31/1903  18:00:24.000000	2.714343E+0
12/31/1903  18:00:25.000000	2.686774E+0
12/31/1903  18:00:26.000000	2.722452E+0
12/31/1903  18:00:27.000000	2.728615E+0
12/31/1903  18:00:28.000000	2.707856E+0
12/31/1903  18:00:29.000000	2.753914E+0
12/31/1903  18:00:30.000000	2.761698E+0
12/31/1903  18:00:31.000000	2.759428E+0
12/31/1903  18:00:32.000000	2.760076E+0
12/31/1903  18:00:33.000000	2.754238E+0
12/31/1903  18:00:34.000000	2.714668E+0
12/31/1903  18:00:35.000000	2.757482E+0
12/31/1903  18:00:36.000000	2.779537E+0
12/31/1903  18:00:37.000000	2.788943E+0
12/31/1903  18:00:38.000000	2.790565E+0
12/31/1903  18:00:39.000000	2.788294E+0
12/31/1903  18:00:40.000000	2.787970E+0
12/31/1903  18:00:41.000000	2.810026E+0
12/31/1903  18:00:42.000000	2.800620E+0
12/31/1903  18:00:43.000000	2.774348E+0
12/31/1903  18:00:44.000000	2.725696E+0
12/31/1903  18:00:45.000000	2.773050E+0
12/31/1903  18:00:46.000000	2.770455E+0
12/31/1903  18:00:47.000000	2.772077E+0
12/31/1903  18:00:48.000000	2.783429E+0
12/31/1903  18:00:49.000000	2.782132E+0
12/31/1903  18:00:50.000000	2.724398E+0
12/31/1903  18:00:51.000000	2.724722E+0
12/31/1903  18:00:52.000000	2.716289E+0
12/31/1903  18:00:53.000000	2.677368E+0
12/31/1903  18:00:54.000000	2.708829E+0
12/31/1903  18:00:55.000000	2.623202E+0
12/31/1903  18:00:56.000000	2.649150E+0
12/31/1903  18:00:57.000000	2.646231E+0
12/31/1903  18:00:58.000000	2.646231E+0
12/31/1903  18:00:59.000000	2.653042E+0
12/31/1903  18:01:00.000000	2.690017E+0
12/31/1903  18:01:01.000000	2.629040E+0
12/31/1903  18:01:02.000000	2.538223E+0
12/31/1903  18:01:03.000000	2.622553E+0
12/31/1903  18:01:04.000000	2.677692E+0
12/31/1903  18:01:05.000000	2.718560E+0
12/31/1903  18:01:06.000000	2.694234E+0
12/31/1903  18:01:07.000000	2.738669E+0
12/31/1903  18:01:08.000000	2.769807E+0
12/31/1903  18:01:09.000000	2.771104E+0
12/31/1903  18:01:10.000000	2.735750E+0
